quality,quality,quality,quality,quality,quality,quality,quality,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,10.526815068493109,7.1713840258213075,-12.4,5.2,10.4,15.8,32.3,8760.0,75.32488584474886,15.42379732073309,24.0,65.0,79.0,88.0,99.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,10.388059360730606,7.3125199446090505,-7.8,5.3,10.0,15.3,33.0,8760.0,75.71324200913241,15.81848338108152,16.0,66.0,80.0,89.0,99.0
8784.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8784.0,9.615619307832432,6.34653548784727,-6.8,4.7,9.7,13.9,31.4,8784.0,76.86395719489981,16.10542670374776,17.0,67.0,81.0,90.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,8.769200913241969,8.149571702933127,-15.5,3.0,9.6,14.8,30.1,8760.0,77.19908675799087,15.289738137954215,19.0,67.0,80.0,90.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,9.305650684931557,7.585995701208449,-15.7,4.2,9.5,14.5,34.8,8760.0,75.68184931506849,15.531039502874858,26.0,65.0,78.0,88.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,8.942054794520573,7.791805489788321,-15.4,3.5,9.5,14.5,30.6,8760.0,78.71598173515982,15.965882117032603,20.0,68.0,83.0,92.0,100.0
8784.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8784.0,10.446732695810557,5.950513084541599,-6.8,5.6,10.5,14.7,29.1,8784.0,77.98850182149363,15.386299944067202,15.0,69.0,82.0,90.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,11.156164383561642,6.651352281314141,-5.1,6.0,10.7,15.9,32.8,8760.0,74.712100456621,16.9739729351793,25.0,63.0,78.0,89.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,10.964577625570762,6.438638310943213,-3.2,6.0,10.6,15.0,34.5,8760.0,74.79543378995434,16.399452739649853,21.0,64.0,78.0,88.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,9.93905251141549,7.309522619140221,-13.5,4.8,9.9,15.0,33.2,8760.0,75.1417808219178,15.654112912620741,19.0,65.0,78.0,88.0,100.0
